      Lon      Lat    Year    ForestAge      ForestH      ForestD    ForestCWD   NaturalAge     NaturalH     NaturalD   NaturalCWD    BarrenAge      BarrenH      BarrenD    BarrenCWD
     9.75    49.75    1980        0.003        0.015        0.001        0.390        2.371        1.726        1.272        0.324        0.000        0.000        0.000        0.000
     9.75    49.75    1981        0.001        0.013        0.000        0.396        2.451        1.739        1.274        0.313        0.000        0.000        0.000        0.000
     9.75    49.75    1982        0.005        0.016        0.003        0.401        2.437        1.719        1.279        0.304        0.000        0.000        0.000        0.000
     9.75    49.75    1983        0.003        0.018        0.003        0.405        2.466        1.732        1.281        0.293        0.000        0.000        0.000        0.000
     9.75    49.75    1984        0.003        0.017        0.002        0.413        2.482        1.734        1.281        0.286        0.000        0.000        0.000        0.000
     9.75    49.75    1985        0.003        0.015        0.003        0.420        2.516        1.745        1.284        0.279        0.000        0.000        0.000        0.000
     9.75    49.75    1986        0.005        0.017        0.001        0.427        2.467        1.751        1.291        0.272        0.000        0.000        0.000        0.000
     9.75    49.75    1987        0.007        0.017        0.001        0.431        2.397        1.724        1.293        0.266        0.000        0.000        0.000        0.000
     9.75    49.75    1988        0.006        0.017        0.001        0.436        2.407        1.707        1.333        0.252        0.000        0.000        0.000        0.000
     9.75    49.75    1989        0.005        0.014        0.000        0.438        2.411        1.698        1.334        0.246        0.000        0.000        0.000        0.000
     9.75    49.75    1990        0.001        0.010        0.000        0.443        2.449        1.689        1.342        0.239        0.000        0.000        0.000        0.000
     9.75    49.75    1991        0.002        0.009        0.000        0.442        2.500        1.692        1.351        0.234        0.000        0.000        0.000        0.000
     9.75    49.75    1992        0.004        0.008        0.000        0.442        2.494        1.720        1.350        0.230        0.000        0.000        0.000        0.000
     9.75    49.75    1993        0.002        0.007        0.000        0.441        2.517        1.730        1.360        0.227        0.000        0.000        0.000        0.000
     9.75    49.75    1994        0.003        0.005        0.000        0.439        2.532        1.740        1.364        0.221        0.000        0.000        0.000        0.000
     9.75    49.75    1995        0.001        0.007        0.000        0.437        2.520        1.778        1.364        0.218        0.000        0.000        0.000        0.000
     9.75    49.75    1996        0.001        0.003        0.000        0.437        2.472        1.780        1.363        0.214        0.000        0.000        0.000        0.000
     9.75    49.75    1997        0.000        0.004        0.003        0.437        2.425        1.790        1.367        0.211        0.000        0.000        0.000        0.000
     9.75    49.75    1998        0.001        0.005        0.000        0.438        2.405        1.794        1.367        0.205        0.000        0.000        0.000        0.000
     9.75    49.75    1999        0.000        0.003        0.002        0.435        2.439        1.793        1.368        0.199        0.000        0.000        0.000        0.000
